"Id","Label","Degree","Betweenness","Expression"
"5591","PRKDC",14,12285.93,0
"6915","TBXA2R",14,10368.38,0.59952
"5518","PPP2R1A",14,10118.16,0
"5245","PHB",14,9098.47,0
"79068","FTO",14,9024.15,0.52347
"5501","PPP1CC",14,8915.68,0
"10524","KAT5",14,8403.17,0
"25902","MTHFD1L",14,7512.21,0.51626
"3187","HNRNPH1",14,5812.46,0
"7094","TLN1",14,5338.95,0
"64210","MMS19",14,5200.64,0
"3185","HNRNPF",14,4953.96,0
"1284","COL4A2",14,4010.04,0.69168
"6733","SRPK2",14,3323.63,0
"3608","ILF2",14,2893.33,0
"92344","GORAB",13,40424.55,0.41986
"10468","FST",13,37580.15,0.63831
"1622","DBI",13,30216.35,0.4759
"403","ARL3",13,25728,0.65788
"4953","ODC1",13,24182.36,0.57359
"5454","POU3F2",13,22977.07,0.55183
"9695","EDEM1",13,22298.59,0.50977
"26505","CNNM3",13,21585.6,0.39755
"5575","PRKAR1B",13,20517.02,0.65562
"8364","HIST1H4A",13,18939.81,0
"4086","SMAD1",13,18508.05,0
"27340","UTP20",13,18432.16,0.55908
"25917","THUMPD3",13,17862.8,0.40483
"10856","RUVBL2",13,17478.03,0
"81542","TMX1",13,16659.7,0.38924
"5894","RAF1",13,16351.86,0
"636","BICD1",13,15351.13,0.5322
"10521","DDX17",13,14225.63,0
"7083","TK1",13,14072.84,0
"22823","MTF2",13,13749.81,0.54498
"983","CDK1",13,13558.42,0
"1827","RCAN1",13,12468.24,1.0083
"5371","PML",13,11820.77,0
"54984","PINX1",13,10596.12,0
"9541","CIR1",13,10525.11,0.45423
"3655","ITGA6",13,9979.72,0.84181
"6660","SOX5",13,9829.8,0.60321
"10657","KHDRBS1",13,9794.29,0
"4616","GADD45B",13,9096.79,0.47809
"7514","XPO1",13,8757.18,0
"5071","PARK2",13,8157.63,0
"7088","TLE1",13,8127.13,0
"1938","EEF2",13,7701.89,0
"1051","CEBPB",13,7606.56,0
"4809","NHP2L1",13,7035.19,0
"1050","CEBPA",13,6797.99,0
"4791","NFKB2",13,6385.55,0
"5557","PRIM1",13,5727.94,0.52258
"3181","HNRNPA2B1",13,5307.17,0
"8848","TSC22D1",13,4816.89,0
"1894","ECT2",13,4709.37,0
"6670","SP3",13,4193.88,0
"920","CD4",13,2197.21,0
"4690","NCK1",13,2053.2,0
"100302652","ASB3",13,2050.87,0.46321
"91949","COG7",12,43232.64,0.43511
"8073","PTP4A2",12,28718.57,0.47582
"8864","PER2",12,27143.58,0.52035
"288","ANK3",12,25722.28,0.62971
"7314","UBB",12,23700.37,0
"1535","CYBA",12,23162.88,0.75351
"7076","TIMP1",12,22283.34,1.1742
"8607","RUVBL1",12,21977.53,0
"1107","CHD3",12,17821.15,0
"26589","MRPL46",12,17167.17,0.74707
"6385","SDC4",12,15433.53,1.3602
"7039","TGFA",12,15026.09,0.6772
"6498","SKIL",12,13897.75,0
"23028","KDM1A",12,13791.07,0
"999","CDH1",12,12635.59,0
"3838","KPNA2",12,12368.74,0
"5347","PLK1",12,12271.02,0
"857","CAV1",12,11041.76,0
